Zip Code,2023,2024,YoY Change,%change
91977,1132,1615,483,0.426678445
91978,323,456,133,0.411764706
91979,3,4,1,0.333333333
91980,8,14,6,0.75
92003,297,364,67,0.225589226
92004,55,67,12,0.218181818
92007,748,914,166,0.221925134
92008,1553,2003,450,0.289761751
92009,3765,4573,808,0.214608234
92010,1246,1539,293,0.235152488
92011,1896,2395,499,0.263185654
92013,22,23,1,0.045454545
92014,1664,1954,290,0.174278846
92018,24,28,4,0.166666667
92019,1419,2079,660,0.465116279
92020,1273,1728,455,0.357423409
92021,1042,1513,471,0.452015355
92022,7,11,4,0.571428571
92023,24,35,11,0.458333333
92024,3964,4795,831,0.209636731
92025,1306,1661,355,0.271822358
92026,1765,2276,511,0.289518414
92027,1333,1691,358,0.268567142
92028,1944,2489,545,0.280349794
92029,1360,1768,408,0.3
92030,10,13,3,0.3
92033,5,6,1,0.2
92036,86,108,22,0.255813953
92037,3453,4188,735,0.212858384
92038,28,43,15,0.535714286
92039,8,10,2,0.25
92040,770,1050,280,0.363636364
92046,15,16,1,0.066666667
92049,5,6,1,0.2
92051,4,7,3,0.75
92052,15,14,-1,-0.066666667
92054,1032,1316,284,0.275193798
92055,10,13,3,0.3
92056,1936,2477,541,0.279442149
92057,1872,2386,514,0.27457265
92058,729,1000,271,0.371742112
92059,35,41,6,0.171428571
92060,13,13,0,0
92061,75,87,12,0.16
92064,2990,4199,1209,0.404347826
92065,979,1239,260,0.26557712
92066,4,3,-1,-0.25
92067,1555,1840,285,0.183279743
92068,7,6,-1,-0.142857143
92069,1690,2230,540,0.319526627
92070,16,18,2,0.125
92071,1606,2139,533,0.331880448
92072,3,7,4,1.333333333
92074,7,12,5,0.714285714
92075,1080,1282,202,0.187037037
92078,3105,3929,824,0.265378422
92079,10,11,1,0.1
92081,1125,1468,343,0.304888889
92082,806,1056,250,0.310173697
92083,665,875,210,0.315789474
92084,1242,1619,377,0.303542673
92085,5,7,2,0.4
92086,26,33,7,0.269230769
92088,10,10,0,0
92091,226,271,45,0.199115044
92092,50,59,9,0.18
92093,55,68,13,0.236363636
92101,3719,3860,141,0.037913418
92102,625,870,245,0.392
92103,1991,2375,384,0.192867906
92104,2127,2499,372,0.174894217
92105,1154,1495,341,0.295493934
92106,1063,1293,230,0.216368768
92107,1016,1257,241,0.237204724
92108,1312,1727,415,0.316310976
92109,1721,2183,462,0.268448576
92110,962,1271,309,0.321205821
92111,1616,2051,435,0.269183168
92112,11,11,0,0
92113,320,478,158,0.49375
92114,1026,1429,403,0.392787524
92115,1361,1737,376,0.27626745
92116,1234,1561,327,0.264991896
92117,2006,2586,580,0.289132602
92118,932,1132,200,0.214592275
92119,861,1107,246,0.285714286
92120,1514,1959,445,0.293923382
92121,556,682,126,0.226618705
92122,2233,2815,582,0.260635916
92123,1454,1963,509,0.350068776
92124,1284,1546,262,0.204049844
92126,3429,4398,969,0.282589676
92127,5382,6561,1179,0.219063545
92128,2979,3902,923,0.309835515
92129,4025,4967,942,0.234037267
92130,7179,8832,1653,0.23025491
92131,3352,4114,762,0.227326969
92134,2,2,0,0
92135,1,1,0,0
92136,7,16,9,1.285714286
92137,6,5,-1,-0.166666667
92138,10,16,6,0.6
92139,539,784,245,0.454545455
92140,,1,1,NaN
92142,4,7,3,0.75
92143,7,11,4,0.571428571
92145,4,10,6,1.5
92147,,,0,NaN
92149,1,2,1,1
92150,22,29,7,0.318181818
92153,8,12,4,0.5
92154,1617,2304,687,0.424860853
92155,1,6,5,5
92159,1,5,4,4
92160,6,9,3,0.5
92161,,,0,NaN
92163,15,18,3,0.2
92164,,,0,NaN
92165,6,5,-1,-0.166666667
92166,8,5,-3,-0.375
92167,8,8,0,0
92168,7,11,4,0.571428571
92169,13,15,2,0.153846154
92170,4,2,-2,-0.5
92171,1,1,0,0
92172,17,20,3,0.176470588
92173,331,522,191,0.577039275
92174,,2,2,NaN
92175,1,3,2,2
92176,10,14,4,0.4
92177,5,7,2,0.4
92178,13,14,1,0.076923077
92182,1,3,2,2
92186,1,,-1,-1
92191,7,5,-2,-0.285714286
92192,17,18,1,0.058823529
92193,5,6,1,0.2
92195,7,8,1,0.142857143
92196,9,13,4,0.444444444
92198,12,17,5,0.416666667
92199,1,,-1,-1
92201,665,937,272,0.409022556
92202,6,8,2,0.333333333
92203,994,1369,375,0.377263581
92210,347,394,47,0.135446686
92211,1142,1456,314,0.274956217
92220,473,699,226,0.477801268
92222,,,0,NaN
92223,1889,2589,700,0.370566437
92225,75,87,12,0.16
92226,4,4,0,0
92227,133,201,68,0.511278195
92230,16,26,10,0.625
92231,277,421,144,0.519855596
92232,8,9,1,0.125
92233,9,12,3,0.333333333
92234,1125,1478,353,0.313777778
92235,6,8,2,0.333333333
92236,202,339,137,0.678217822
92239,1,3,2,2
92240,403,587,184,0.456575682
92241,101,138,37,0.366336634
92242,4,3,-1,-0.25
92243,351,572,221,0.62962963
92244,7,11,4,0.571428571
92247,11,16,5,0.454545455
92248,11,15,4,0.363636364
92249,51,78,27,0.529411765
92250,27,38,11,0.407407407
92251,258,409,151,0.585271318
92252,118,156,38,0.322033898
92253,1345,1741,396,0.294423792
92254,35,52,17,0.485714286
92255,13,13,0,0
92256,54,72,18,0.333333333
92257,11,12,1,0.090909091
92258,7,12,5,0.714285714
92259,2,3,1,0.5
92260,980,1232,252,0.257142857
92261,12,10,-2,-0.166666667
92262,1338,1657,319,0.238415546
92263,28,46,18,0.642857143
92264,1113,1391,278,0.249775382
92266,1,,-1,-1
92267,,2,2,NaN
92268,13,18,5,0.384615385
92270,1507,1825,318,0.211015262
92273,6,10,4,0.666666667
92274,63,92,29,0.46031746
92275,6,6,0,0
92276,112,135,23,0.205357143
92277,202,265,63,0.311881188
92278,1,4,3,3
92280,,,0,NaN
92281,2,5,3,1.5
92282,21,26,5,0.238095238
92283,6,2,-4,-0.666666667
92284,325,412,87,0.267692308
92285,25,37,12,0.48
92286,8,7,-1,-0.125
92301,291,411,120,0.412371134
92305,4,5,1,0.25
92307,614,788,174,0.283387622
92308,557,718,161,0.289048474
92309,1,2,1,1
92310,60,93,33,0.55
92311,188,254,66,0.35106383
92312,5,6,1,0.2
92313,248,313,65,0.262096774
92314,90,117,27,0.3
92315,91,110,19,0.208791209
92316,250,345,95,0.38
92317,66,75,9,0.136363636
92318,1,2,1,1
92320,316,387,71,0.224683544
92321,17,26,9,0.529411765
92322,10,10,0,0
92324,654,865,211,0.322629969
92325,145,185,40,0.275862069
92326,,1,1,NaN
92327,,1,1,NaN
92328,,1,1,NaN
92329,27,36,9,0.333333333
92331,17,13,-4,-0.235294118
92332,,1,1,NaN
92333,14,18,4,0.285714286
92334,1,8,7,7
92335,758,1052,294,0.387862797
92336,4051,5623,1572,0.388052333
92337,641,877,236,0.368174727
92339,16,25,9,0.5625
92340,3,12,9,3
92341,7,8,1,0.142857143
92342,123,163,40,0.325203252
92344,421,590,169,0.401425178
92345,792,1129,337,0.425505051
92346,1192,1518,326,0.273489933
92347,6,4,-2,-0.333333333
92350,7,9,2,0.285714286
92352,156,194,38,0.243589744
92354,802,969,167,0.208229426
92356,23,43,20,0.869565217
92358,23,26,3,0.130434783
92359,135,178,43,0.318518519
92363,19,28,9,0.473684211
92364,,,0,NaN
92365,11,12,1,0.090909091
92366,1,,-1,-1
92368,10,12,2,0.2
92369,2,8,6,3
92371,160,202,42,0.2625
92372,85,103,18,0.211764706
92373,1474,1784,310,0.210312076
92374,1108,1451,343,0.309566787
92375,22,27,5,0.227272727
92376,798,1099,301,0.377192982
