ZIP_CODE,Month,Hour,Sol Rad (Ly/day),Air Temp (F),Wind Speed (mph)
90002,7,1000,1433.323,72.732,4.639
90002,7,1100,1659.935,73.481,5.319
90002,7,1200,1863.065,74.261,5.865
90002,7,1300,1922.419,75.042,6.258
90002,7,1400,1761.355,76.019,6.319
90002,7,1500,1505.387,76.919,6.2
90002,7,1600,1180.903,78.087,5.384
90002,7,1700,701.29,77.361,4.797
90002,7,1800,105.258,75.271,3.935
90002,7,1900,37.129,72.271,2.932
90002,7,2000,1.065,69.123,2.145
90002,7,2100,0.0,67.029,1.777
90002,7,2200,0.0,65.713,1.729
90002,7,2300,0.0,64.748,1.597
90002,7,2400,0.0,64.142,1.529
90002,8,100,0.0,63.3,1.171
90002,8,200,0.0,63.1,1.232
90002,8,300,0.0,63.074,1.31
90002,8,400,0.0,62.858,1.242
90002,8,500,0.0,62.826,1.29
90002,8,600,34.645,63.142,1.297
90002,8,700,266.613,65.635,1.648
90002,8,800,627.355,69.142,2.297
90002,8,900,1062.774,73.287,3.032
90002,8,1000,1433.032,75.584,4.165
90002,8,1100,1745.935,76.645,5.158
90002,8,1200,1874.452,77.081,5.971
90002,8,1300,1854.613,77.648,6.29
90002,8,1400,1696.903,78.494,6.358
90002,8,1500,1448.516,79.674,5.948
90002,8,1600,1065.935,80.461,5.203
90002,8,1700,657.194,79.897,4.329
90002,8,1800,241.935,76.977,3.368
90002,8,1900,19.065,72.552,2.406
90002,8,2000,0.0,69.452,1.797
90002,8,2100,0.0,67.355,1.558
90002,8,2200,0.0,65.777,1.387
90002,8,2300,0.0,64.803,1.248
90002,8,2400,0.0,63.955,1.223
90002,9,100,0.0,63.39,1.35
90002,9,200,0.0,63.29,1.37
90002,9,300,0.0,63.143,1.307
90002,9,400,0.0,62.923,1.467
90002,9,500,0.0,62.817,1.457
90002,9,600,7.6,62.63,1.403
90002,9,700,94.833,63.743,1.563
90002,9,800,356.267,66.723,2.07
90002,9,900,666.767,70.027,2.46
90002,9,1000,1036.567,72.743,3.283
90002,9,1100,1436.967,74.933,4.39
90002,9,1200,1612.767,76.497,5.477
90002,9,1300,1639.067,77.683,5.757
90002,9,1400,1506.533,77.837,5.937
90002,9,1500,1197.067,78.327,5.53
90002,9,1600,821.433,78.063,4.96
90002,9,1700,420.167,76.45,4.177
90002,9,1800,86.103,72.731,3.421
90002,9,1900,1.633,69.01,2.373
90002,9,2000,0.0,67.01,1.817
90002,9,2100,0.0,65.563,1.713
90002,9,2200,0.0,64.477,1.65
90002,9,2300,0.0,63.863,1.59
90002,9,2400,0.0,63.55,1.433
90002,10,100,0.0,57.626,1.345
90002,10,200,0.0,57.748,1.416
90002,10,300,0.0,57.59,1.439
90002,10,400,0.0,57.439,1.374
90002,10,500,0.0,57.181,1.381
90002,10,600,0.903,56.99,1.406
90002,10,700,43.161,57.158,1.516
90002,10,800,261.065,59.781,1.7
90002,10,900,589.613,63.442,2.306
90002,10,1000,1011.839,67.555,3.161
90002,10,1100,1332.258,70.652,4.168
90002,10,1200,1422.0,71.961,4.955
90002,10,1300,1352.065,72.629,5.4
90002,10,1400,1175.968,73.177,5.584
90002,10,1500,892.194,73.539,5.348
90002,10,1600,545.548,72.81,4.723
90002,10,1700,186.968,70.803,3.603
90002,10,1800,9.355,66.335,2.49
90002,10,1900,0.0,63.197,1.853
90002,10,2000,0.0,61.142,1.613
90002,10,2100,0.0,59.603,1.503
90002,10,2200,0.0,58.658,1.461
90002,10,2300,0.0,58.055,1.49
90002,10,2400,0.0,57.468,1.387
90002,11,100,0.0,48.877,1.293
90002,11,200,0.0,47.817,1.343
90002,11,300,0.0,47.403,1.367
90002,11,400,0.0,47.09,1.49
90002,11,500,0.0,46.27,1.357
90002,11,600,0.0,45.333,1.323
90002,11,700,22.333,44.883,1.31
90002,11,800,291.133,49.183,1.303
90002,11,900,637.2,57.057,2.213
90002,11,1000,930.367,63.487,2.903
90002,11,1100,1142.1,66.993,3.543
90002,11,1200,1214.133,68.927,4.33
90002,11,1300,1147.9,69.2,5.29
90002,11,1400,923.233,68.857,5.687
90002,11,1500,664.033,69.153,5.073
90002,11,1600,341.833,68.433,4.257
90002,11,1700,65.267,64.24,2.943
90002,11,1800,0.367,59.747,2.053
90002,11,1900,0.0,56.673,1.623
90002,11,2000,0.0,54.243,1.503
90002,11,2100,0.0,53.12,1.543
90002,11,2200,0.0,52.137,1.533
90002,11,2300,0.0,51.107,1.457
90002,11,2400,0.0,49.96,1.297
90002,12,100,0.0,48.6,1.548
90002,12,200,0.0,48.339,1.487
90002,12,300,0.0,47.994,1.487
90002,12,400,0.0,47.839,1.442
90002,12,500,0.0,47.442,1.348
90002,12,600,0.0,46.797,1.358
90002,12,700,3.613,46.445,1.348
90002,12,800,93.129,47.435,1.406
90002,12,900,317.839,51.619,1.661
90002,12,1000,538.613,56.039,2.155
90002,12,1100,743.71,59.845,2.668
90002,12,1200,868.903,62.877,3.297
90002,12,1300,886.065,64.419,3.965
90002,12,1400,784.968,64.681,4.481
90002,12,1500,555.161,64.019,4.474
90002,12,1600,288.871,62.945,3.865
90002,12,1700,52.935,59.848,2.761
90002,12,1800,0.032,55.952,1.61
90002,12,1900,0.0,53.455,1.423
90002,12,2000,0.0,51.239,1.239
90002,12,2100,0.0,50.365,1.319
90002,12,2200,0.0,49.768,1.31
90002,12,2300,0.0,49.01,1.374
90002,12,2400,0.0,48.874,1.523
90003,1,100,0.0,53.826,2.623
90003,1,200,0.0,53.621,2.629
90003,1,300,0.0,53.537,2.394
90003,1,400,99.619,53.247,2.484
90003,1,500,13.905,53.242,2.745
90003,1,600,23.952,52.832,2.842
90003,1,700,33.81,52.779,2.813
90003,1,800,76.333,52.942,2.852
90003,1,900,410.095,56.342,2.806
90003,1,1000,752.429,60.116,2.99
90003,1,1100,1251.905,62.463,3.094
90003,1,1200,1717.273,63.911,3.426
90003,1,1300,1711.955,64.453,3.884
90003,1,1400,1033.19,64.245,3.994
90003,1,1500,812.381,63.8,4.087
90003,1,1600,478.286,62.83,3.845
90003,1,1700,169.667,61.43,3.09
90003,1,1800,6.095,58.75,2.445
90003,1,1900,0.0,56.71,2.5
90003,1,2000,0.0,55.926,2.19
90003,1,2100,0.0,55.932,2.477
90003,1,2200,0.0,55.5,2.435
90003,1,2300,0.0,54.768,2.387
90003,1,2400,0.0,54.205,2.616
90003,2,100,0.0,51.8,2.952
90003,2,200,0.0,51.703,2.879
90003,2,300,0.0,51.552,2.738
90003,2,400,0.0,51.476,2.852
90003,2,500,0.0,51.4,3.093
90003,2,600,0.0,51.438,2.983
90003,2,700,10.31,51.066,3.034
90003,2,800,139.241,52.069,3.134
90003,2,900,455.172,55.366,3.379
90003,2,1000,692.207,57.428,3.603
90003,2,1100,897.241,58.855,3.99
90003,2,1200,1064.103,60.072,4.621
90003,2,1300,1088.034,60.721,5.203
90003,2,1400,1014.897,60.593,5.497
90003,2,1500,882.276,60.252,5.652
90003,2,1600,628.931,59.621,5.579
90003,2,1700,276.207,58.497,4.907
90003,2,1800,35.931,56.814,3.952
90003,2,1900,0.0,55.31,2.81
90003,2,2000,0.0,54.152,2.721
90003,2,2100,0.0,53.524,2.728
90003,2,2200,0.0,53.003,2.538
90003,2,2300,0.0,52.652,2.652
90003,2,2400,0.0,52.338,2.666
90003,3,100,0.0,52.368,2.91
90003,3,200,0.0,51.687,2.9
90003,3,300,0.0,51.235,2.852
90003,3,400,0.0,50.877,2.881
90003,3,500,0.0,51.052,3.1
90003,3,600,1.355,51.258,3.203
90003,3,700,100.774,52.106,2.997
90003,3,800,423.032,55.19,3.274
90003,3,900,771.419,57.771,3.768
90003,3,1000,1149.742,59.61,4.206
90003,3,1100,1477.581,61.161,5.123
90003,3,1200,1584.71,61.581,6.345
90003,3,1300,1614.581,61.668,6.858
90003,3,1400,1530.129,61.532,7.365
90003,3,1500,1247.839,61.245,7.255
90003,3,1600,870.581,60.597,6.6
90003,3,1700,463.258,59.726,5.871
90003,3,1800,112.387,58.023,4.584
90003,3,1900,1.774,56.452,3.252
90003,3,2000,0.0,55.571,2.884
90003,3,2100,0.0,54.855,3.403
90003,3,2200,0.0,54.223,3.074
90003,3,2300,0.0,53.703,3.177
90003,3,2400,0.0,52.919,3.103
90003,4,100,0.0,53.7,2.517
90003,4,200,0.0,53.417,2.477
90003,4,300,0.0,52.987,2.373
90003,4,400,0.0,52.483,2.44
90003,4,500,0.0,52.347,2.62
90003,4,600,31.133,52.47,2.533
90003,4,700,244.467,54.473,2.507
90003,4,800,604.4,57.78,2.987
90003,4,900,956.067,60.16,3.53
90003,4,1000,1306.667,61.273,4.597
90003,4,1100,1560.067,61.837,5.567
90003,4,1200,1763.367,62.26,6.233
90003,4,1300,1766.633,62.697,6.737
90003,4,1400,1648.367,62.597,7.12
90003,4,1500,1397.567,62.143,7.013
90003,4,1600,1051.933,61.483,6.97
90003,4,1700,638.367,60.647,6.267
90003,4,1800,245.633,59.293,4.833
90003,4,1900,14.033,57.64,3.117
90003,4,2000,0.0,56.627,2.51
90003,4,2100,0.0,55.883,2.283
90003,4,2200,0.0,55.267,2.283
90003,4,2300,0.0,54.713,2.59
90003,4,2400,0.0,54.187,2.39
90003,5,100,0.0,56.068,2.203
90003,5,200,0.0,56.065,2.271
90003,5,300,0.0,55.89,2.145
90003,5,400,0.0,55.513,2.11
90003,5,500,0.871,55.623,2.026
90003,5,600,48.968,56.123,2.071
90003,5,700,205.548,57.432,2.339
90003,5,800,430.29,58.826,2.829
90003,5,900,655.097,59.961,3.494
90003,5,1000,947.968,61.052,4.245
90003,5,1100,1337.484,62.1,5.2
90003,5,1200,1625.645,63.058,5.865
90003,5,1300,1756.452,63.581,6.381
90003,5,1400,1702.677,63.826,6.684
90003,5,1500,1524.645,63.394,6.955
90003,5,1600,1173.903,62.529,6.871
90003,5,1700,735.581,61.484,6.306
90003,5,1800,326.226,60.3,5.523
90003,5,1900,45.968,58.726,4.258
90003,5,2000,0.1,57.763,3.157
90003,5,2100,0.0,57.303,2.668
90003,5,2200,0.0,56.929,2.487
90003,5,2300,0.0,56.574,2.226
90003,5,2400,0.0,56.387,2.168
