 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
NEWMAN,12kV,Yes,541,148,39,18,2,2990,40,3030,134,162741102,NEWMAN 1102,Yosemite,6/2/2025 1:21:05 AM
CAMDEN,12kV,No,1221,120,22,157,5,4140,690,4830,135,252301102,CAMDEN 1102,Fresno,6/2/2025 1:21:05 AM
BRITTON,12kV,Yes,1889,79,27,0,4,130,0,130,136,083611104,BRITTON 1104,De Anza,6/2/2025 1:21:05 AM
WHISMAN,12kV,Yes,415,58,60,0,4,1820,3120,4940,137,083631105,WHISMAN 1105,De Anza,6/2/2025 1:21:05 AM
WOODLAND,12kV,Yes,536,264,105,45,17,2740,2040,4780,138,062031108,WOODLAND 1108,Sacramento,6/2/2025 1:21:05 AM
CALIFORNIA AVE,12kV,Yes,11,176,47,2,24,430,120,550,139,252281104,CALIFORNIA AVE 1104,Fresno,6/2/2025 1:21:05 AM
MONTAGUE,21kV,Yes,143,63,42,0,7,430,0,430,140,083892103,MONTAGUE 2103,San Jose,6/2/2025 1:21:05 AM
HAMILTON A,12kV,No,1584,301,60,254,3,8170,4960,13130,141,102701103,ORLAND B 1103,North Valley,6/2/2025 1:21:05 AM
NEWARK 21KV,21kV,No,0,41,144,0,14,3200,2250,5450,142,012232111,NEWARK 21KV 2111,Mission,6/2/2025 1:21:05 AM
6TH AVENUE,4.16kV,No,1534,112,18,0,3,70,20,90,143,022530403,6TH AVENUE 0403,San Francisco,6/2/2025 1:21:05 AM
NORIEGA,4.16kV,No,590,22,0,0,2,130,10,140,144,022510401,NORIEGA 0401,San Francisco,6/2/2025 1:21:05 AM
HIGHWAY,12kV,Yes,654,19,31,1,0,2330,2080,4410,145,042651105,HIGHWAY 1105,North Bay,6/2/2025 1:21:05 AM
VIERRA,17kV,No,1691,164,183,3,27,7460,3280,10740,146,162701702,VIERRA 1702,Stockton,6/2/2025 1:21:05 AM
GRANT,12kV,Yes,965,244,70,0,2,1570,300,1870,147,014381107,GRANT 1107,Mission,6/2/2025 1:21:05 AM
SF H,12kV,Yes,940,77,24,0,16,280,10,290,148,022101101,SF H 1101,Peninsula,6/2/2025 1:21:05 AM
RED BLUFF,12kV,No,1372,117,25,27,4,3980,260,4240,149,103541104,RED BLUFF 1104,North Valley,6/2/2025 1:21:05 AM
GRANT,12kV,No,2823,142,59,0,13,3750,200,3950,150,014381105,GRANT 1105,Mission,6/2/2025 1:21:05 AM
MC CALL,12kV,No,1052,150,61,40,6,8090,110,8200,151,254121103,MC CALL 1103,Fresno,6/2/2025 1:21:05 AM
WESTPARK,12kV,No,725,67,34,0,5,1650,70,1720,152,253701111,WESTPARK 1111,Kern,6/2/2025 1:21:05 AM
BULLARD,21kV,No,2563,85,33,9,17,4910,2130,7040,153,253962112,BULLARD 2112,Fresno,6/2/2025 1:21:05 AM
VASCO,12kV,No,1724,48,31,0,4,1280,90,1370,154,013751101,VASCO 1101,Mission,6/2/2025 1:21:05 AM
MONTAGUE,21kV,Yes,321,15,30,0,1,240,0,240,155,083892101,MONTAGUE 2101,San Jose,6/2/2025 1:21:05 AM
EAST NICOLAUS,12kV,Yes,188,66,10,197,7,900,1330,2230,156,152151101,EAST NICOLAUS 1101,Sacramento,6/2/2025 1:21:05 AM
DALY CITY,12kV,No,3944,177,41,0,12,1610,590,2200,157,022641104,DALY CITY 1104,Peninsula,6/2/2025 1:21:05 AM
