 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
POTRERO PP (A),12kV,No,1824,339,162,1,30,330,30,360,2366,022031119,POTRERO PP (A) 1119,San Francisco,6/2/2025 1:21:05 AM
RACETRACK,17kV,No,2599,384,49,4,49,4730,2300,7030,2367,163761703,RACETRACK 1703,Yosemite,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,1190,520,63,0,7,60,0,60,2368,022011120,MISSION (X) 1120,San Francisco,6/2/2025 1:21:05 AM
SANGER,12kV,No,2297,63,2,113,5,8770,540,9310,2369,252351118,SANGER 1118,Fresno,6/2/2025 1:21:05 AM
PIERCY,21kV,No,5647,209,53,0,5,6200,1260,7460,2370,083912109,PIERCY 2109,San Jose,6/2/2025 1:21:05 AM
SAN MIGUEL,12kV,Yes,990,88,18,18,,3109,3301,6410,2371,182661105,SAN MIGUEL 1105,Los Padres,11/3/2025 11:44:14 AM
WILLOWS A,12kV,No,595,79,33,7,3,1070,240,1310,2372,102741101,WILLOWS A 1101,North Valley,6/2/2025 1:21:05 AM
BRENTWOOD,21kV,No,5019,387,74,112,12,13030,920,13950,2373,014592112,BRENTWOOD 2112,Diablo,6/2/2025 1:21:05 AM
TRIMBLE,21kV,Yes,0,27,27,0,7,2750,1380,4130,2374,083802119,TRIMBLE 2119,San Jose,6/2/2025 1:21:05 AM
SONOMA,12kV,No,2969,204,31,69,16,4640,700,5340,2375,042721104,SONOMA 1104,Sonoma,6/2/2025 1:21:05 AM
CABRILLO,12kV,No,1367,121,30,181,2,1900,560,2460,2376,183101103,CABRILLO 1103,Los Padres,6/2/2025 1:21:05 AM
FAIRVIEW,21kV,No,4135,245,68,1,11,5500,310,5810,2377,013432206,FAIRVIEW 2206,Diablo,6/2/2025 1:21:05 AM
JAMESON,12kV,No,1095,156,113,0,6,2730,1310,4040,2378,063801101,JAMESON 1101,North Bay,6/2/2025 1:21:05 AM
TERMINOUS,12kV,Yes,223,49,10,35,4,980,1390,2370,2379,163021102,TERMINOUS 1102,Stockton,6/2/2025 1:21:05 AM
LAWRENCE,12kV,No,1476,35,26,0,1,2030,10,2040,2380,083421105,LAWRENCE 1105,De Anza,6/2/2025 1:21:05 AM
LOCKEFORD,21kV,No,1645,267,49,596,9,11500,1320,12820,2381,163682102,LOCKEFORD 2102,Stockton,6/2/2025 1:21:05 AM
MORAGA,12kV,No,1627,104,26,1,9,3410,290,3700,2382,013801104,MORAGA 1104,Diablo,6/2/2025 1:21:05 AM
SAN RAFAEL,12kV,No,1788,440,95,0,13,2690,460,3150,2383,042011110,SAN RAFAEL 1110,Sonoma,6/2/2025 1:21:05 AM
CORONA,12kV,No,2225,418,134,16,17,3140,240,3380,2384,043491101,CORONA 1101,Sonoma,6/2/2025 1:21:05 AM
OLD RIVER,12kV,No,210,73,11,149,8,3430,1730,5160,2385,252821102,OLD RIVER 1102,Kern,6/2/2025 1:21:05 AM
KERMAN,12kV,No,1495,88,28,93,4,3680,1770,5450,2386,252711108,KERMAN 1108,Fresno,6/2/2025 1:21:05 AM
SOBRANTE,12kV,No,1735,76,15,0,19,5690,520,6210,2387,014671102,SOBRANTE 1102,Diablo,6/2/2025 1:21:05 AM
WESTPARK,12kV,No,1462,207,49,0,14,3300,1270,4570,2388,253701104,WESTPARK 1104,Kern,6/2/2025 1:21:05 AM
STOCKDALE,12kV,No,1839,94,115,1,4,3460,390,3850,2389,254071109,STOCKDALE 1109,Kern,6/2/2025 1:21:05 AM
CASSIDY,21kV,No,1194,165,35,84,3,5420,3150,8570,2390,254272107,CASSIDY 2107,Yosemite,6/2/2025 1:21:05 AM
PACIFICA,12kV,No,1880,40,8,0,2,1260,80,1340,2391,022811101,PACIFICA 1101,Peninsula,6/2/2025 1:21:05 AM
BELMONT,12kV,No,0,15,22,0,5,330,1640,1970,2392,024031111,BELMONT 1111,Peninsula,6/2/2025 1:21:05 AM
SPENCE,12kV,Yes,45,17,7,97,0,20,0,20,2393,182201103,SPENCE 1103,Central Coast,6/2/2025 1:21:05 AM
SHADY GLEN,12kV,No,816,98,14,0,5,940,90,1030,2394,152431102,SHADY GLEN 1102,Sierra,6/2/2025 1:21:05 AM
OROSI,12kV,Yes,108,14,5,249,2,110,24150,24260,2395,252841102,OROSI 1102,Fresno,6/2/2025 1:21:05 AM
TRACY,12kV,No,782,291,133,72,6,2890,6040,8930,2396,162881106,TRACY 1106,Stockton,6/2/2025 1:21:05 AM
TRACY,12kV,No,1531,177,104,1,10,1730,100,1830,2397,162881107,TRACY 1107,Stockton,6/2/2025 1:21:05 AM
OLIVEHURST,12kV,No,900,97,18,137,8,2640,1090,3730,2398,152901105,OLIVEHURST 1105,Sacramento,6/2/2025 1:21:05 AM
RICHMOND R,12kV,No,4140,355,61,0,14,2130,270,2400,2399,013471130,RICHMOND R 1130,East Bay,6/2/2025 1:21:05 AM
LEMOORE,12kV,No,2335,274,83,23,8,6600,310,6910,2400,253601105,LEMOORE 1105,Fresno,6/2/2025 1:21:05 AM
MIDDLETOWN,12kV,No,1934,148,65,11,6,3970,250,4220,2401,043141102,MIDDLETOWN 1102,Humboldt,6/2/2025 1:21:05 AM
KING CITY,12kV,Yes,51,74,32,36,2,550,1180,1730,2402,182031102,KING CITY 1102,Central Coast,6/2/2025 1:21:05 AM
GATES,12kV,Yes,13,11,1,50,49,1800,420,2220,2403,253931102,GATES 1102,Fresno,6/2/2025 1:21:05 AM
PASO ROBLES,12kV,Yes,1101,143,73,0,2,3990,330,4320,2404,182611102,PASO ROBLES 1102,Los Padres,6/2/2025 1:21:05 AM
TIDEWATER,21kV,No,2784,345,136,1,28,2110,180,2290,2405,014652108,TIDEWATER 2108,Diablo,6/2/2025 1:21:05 AM
BEAR VALLEY,21kV,No,1401,180,10,9,0,980,60,1040,2406,252192105,BEAR VALLEY 2105,Yosemite,6/2/2025 1:21:05 AM
CARUTHERS,12kV,Yes,75,12,1,150,6,5770,1680,7450,2407,252371105,CARUTHERS 1105,Fresno,6/2/2025 1:21:05 AM
MARINA (F),12kV,No,5043,241,58,0,52,390,20,410,2408,022781101,MARINA (F) 1101,San Francisco,6/2/2025 1:21:05 AM
SAN LEANDRO U,12kV,No,1964,297,137,0,12,930,3260,4190,2409,013111113,SAN LEANDRO U 1113,Mission,6/2/2025 1:21:05 AM
WOLFE,12kV,No,1943,133,142,0,13,2330,180,2510,2410,083671105,WOLFE 1105,De Anza,6/2/2025 1:21:05 AM
DOS PALOS,12kV,No,2107,199,31,126,4,4460,6240,10700,2411,254041101,DOS PALOS 1101,Yosemite,6/2/2025 1:21:05 AM
DUNLAP,12kV,Yes,804,98,18,14,0,440,50,490,2412,254061103,DUNLAP 1103,Fresno,6/2/2025 1:21:05 AM
TRIMBLE,12kV,No,0,16,37,0,0,0,0,0,2413,083801101,TRIMBLE 1101,San Jose,6/2/2025 1:21:05 AM
ELK,12kV,No,1314,182,25,17,2,790,110,900,2414,042981101,ELK 1101,Humboldt,6/2/2025 1:21:05 AM
ZACA,12kV,Yes,53,49,11,54,1,60,70,130,2415,182681101,ZACA 1101,Los Padres,11/3/2025 11:41:54 AM
RICHMOND R,12kV,Yes,1793,152,67,2,10,3070,140,3210,2416,013471128,RICHMOND R 1128,East Bay,6/2/2025 1:21:05 AM
Valley Springs,12kV,Yes,20,15,7,3,2,160,50,210,2417,168891102,Valley Springs 1102,Stockton,6/2/2025 1:21:05 AM
RANCHERS COTTON,12kV,Yes,1447,146,80,0,10,7020,770,7790,2418,254801101,RANCHERS COTTON 1101,Fresno,6/2/2025 1:21:05 AM
LOCKEFORD,21kV,No,1417,203,36,436,4,4770,27580,32350,2419,163682101,LOCKEFORD 2101,Stockton,6/2/2025 1:21:05 AM
PARADISE,12kV,No,2314,197,51,2,5,4690,780,5470,2420,102831105,PARADISE 1105,North Valley,6/2/2025 1:21:05 AM
EL CERRITO G,12kV,Yes,2107,143,64,0,24,3120,110,3230,2421,012501102,EL CERRITO G 1102,East Bay,6/2/2025 1:21:05 AM
JANES CREEK,12kV,Yes,1460,133,48,5,5,750,150,900,2422,192391102,JANES CREEK 1102,Humboldt,6/2/2025 1:21:05 AM
PEABODY,21kV,No,2383,91,25,0,6,3680,70,3750,2423,063642104,PEABODY 2104,North Bay,6/2/2025 1:21:05 AM
NEWARK 12KV,12kV,No,4188,132,51,0,33,3820,1240,5060,2424,012221107,NEWARK 12KV 1107,Mission,6/2/2025 1:21:05 AM
SILVERADO,21kV,No,3134,431,90,163,10,6350,4530,10880,2425,043432104,SILVERADO 2104,North Bay,6/2/2025 1:21:05 AM
EMERALD LAKE,4.16kV,No,582,27,12,0,8,1770,210,1980,2426,024080401,EMERALD LAKE 0401,Peninsula,6/2/2025 1:21:05 AM
CONTRA COSTA,21kV,No,3443,115,18,0,11,8490,460,8950,2427,013652108,CONTRA COSTA 2108,Diablo,6/2/2025 1:21:05 AM
MISSION (X),12kV,No,630,10,10,0,7,0,0,0,2428,022011121,MISSION (X) 1121,San Francisco,6/2/2025 1:21:05 AM
WOODLAND,12kV,No,1966,47,39,0,5,4340,90,4430,2429,062031103,WOODLAND 1103,Sacramento,6/2/2025 1:21:05 AM
AIRWAYS,12kV,No,2542,62,3,0,9,10990,240,11230,2430,252041104,AIRWAYS 1104,Fresno,6/2/2025 1:21:05 AM
HARDWICK,12kV,No,379,83,9,437,5,10110,180,10290,2431,253711102,HARDWICK 1102,Fresno,6/2/2025 1:21:05 AM
HORSESHOE,12kV,No,1231,80,23,0,0,4970,210,5180,2432,152571105,HORSESHOE 1105,Sierra,6/2/2025 1:21:05 AM
EAST NICOLAUS,12kV,Yes,281,81,13,186,3,1790,10530,12320,2433,152151102,EAST NICOLAUS 1102,Sacramento,6/2/2025 1:21:05 AM
WOODWARD,21kV,Yes,1668,50,15,21,3,8560,4410,12970,2434,255292107,WOODWARD 2107,Fresno,6/2/2025 1:21:05 AM
DUMBARTON,12kV,No,0,8,27,0,0,0,100,100,2435,014471112,DUMBARTON 1112,Mission,6/2/2025 1:21:05 AM
STOREY,12kV,No,2777,121,47,3,6,7190,400,7590,2436,254611111,STOREY 1111,Yosemite,6/2/2025 1:21:05 AM
SARATOGA,12kV,No,4750,109,14,0,7,6230,470,6700,2437,083371109,SARATOGA 1109,De Anza,6/2/2025 1:21:05 AM
PUTAH CREEK,12kV,No,734,104,15,68,0,3860,130,3990,2438,063681102,PUTAH CREEK 1102,Sacramento,6/2/2025 1:21:05 AM
FORT ORD,21kV,Yes,1884,111,93,0,12,3550,680,4230,2439,182402105,FORT ORD 2105,Central Coast,6/2/2025 1:21:05 AM
OAKLAND K,12kV,Yes,2455,109,20,0,5,3660,270,3930,2440,012101102,OAKLAND K 1102,East Bay,6/2/2025 1:21:05 AM
SF H,12kV,Yes,383,86,34,0,9,70,70,140,2441,022101111,SF H 1111,Peninsula,6/2/2025 1:21:05 AM
DEEPWATER,12kV,No,0,141,125,3,7,1440,0,1440,2442,063621105,DEEPWATER 1105,Sacramento,6/2/2025 1:21:05 AM
COTTLE,17kV,No,526,61,13,255,10,3720,1420,5140,2443,163711708,COTTLE 1708,Yosemite,6/2/2025 1:21:05 AM
BOGUE,12kV,No,2756,77,21,12,3,6800,1030,7830,2444,153781105,BOGUE 1105,Sacramento,6/2/2025 1:21:05 AM
BELMONT,12kV,No,5665,442,102,0,9,4020,320,4340,2445,024031110,BELMONT 1110,Peninsula,6/2/2025 1:21:05 AM
WOODLAND,12kV,No,3293,182,35,0,6,3760,870,4630,2446,062031109,WOODLAND 1109,Sacramento,6/2/2025 1:21:05 AM
ANTELOPE,12kV,Yes,7,40,7,46,5,860,5550,6410,2447,252021101,ANTELOPE 1101,Kern,6/2/2025 1:21:05 AM
DEL MAR,21kV,No,3980,146,28,1,1,17660,640,18300,2448,152582109,DEL MAR 2109,Sierra,6/2/2025 1:21:05 AM
SWIFT,21kV,No,3634,125,42,2,5,3360,390,3750,2449,083392102,SWIFT 2102,San Jose,6/2/2025 1:21:05 AM
WEEDPATCH,12kV,No,2043,86,10,46,0,4190,1530,5720,2450,252971102,WEEDPATCH 1102,Kern,6/2/2025 1:21:05 AM
BASALT,12kV,Yes,2251,114,87,1,24,5820,4100,9920,2451,042461101,BASALT 1101,North Bay,6/2/2025 1:21:05 AM
REEDLEY,12kV,No,2310,133,29,103,3,5170,10210,15380,2452,252341101,REEDLEY 1101,Fresno,6/2/2025 1:21:05 AM
SF N,12kV,No,714,48,13,0,3,310,0,310,2453,022281101,SF N 1101,San Francisco,6/2/2025 1:21:05 AM
OAKLAND C,12kV,Yes,1134,166,68,0,21,460,60,520,2454,012011113,OAKLAND C 1113,East Bay,6/2/2025 1:21:05 AM
RICHMOND R,12kV,No,401,59,97,0,3,2160,100,2260,2455,013471118,RICHMOND R 1118,East Bay,6/2/2025 1:21:05 AM
SF H,12kV,No,6824,519,81,0,31,1870,250,2120,2456,022101105,SF H 1105,Peninsula,6/2/2025 1:21:05 AM
BEAR VALLEY,21kV,No,1029,201,15,11,1,1390,230,1620,2457,252192101,BEAR VALLEY 2101,Yosemite,6/2/2025 1:21:05 AM
MOUNTAIN VIEW,12kV,Yes,1553,55,28,0,8,4330,220,4550,2458,082031109,MOUNTAIN VIEW 1109,De Anza,6/2/2025 1:21:05 AM
PETALUMA C,12kV,No,4881,449,66,172,15,9750,610,10360,2459,042631108,PETALUMA C 1108,Sonoma,6/2/2025 1:21:05 AM
SCHINDLER,12kV,Yes,51,35,12,112,15,4720,2110,6830,2460,252891110,SCHINDLER 1110,Fresno,6/2/2025 1:21:05 AM
EUREKA A,12kV,Yes,47,125,61,1,9,720,610,1330,2461,192121106,EUREKA A 1106,Humboldt,6/2/2025 1:21:05 AM
MILPITAS,12kV,No,1490,151,163,0,9,1470,270,1740,2462,082831106,MILPITAS 1106,San Jose,6/2/2025 1:21:05 AM
DIAMOND SPRINGS,12kV,No,948,55,11,0,3,3080,1400,4480,2463,152261104,DIAMOND SPRINGS 1104,Sierra,6/2/2025 1:21:05 AM
MERCED,21kV,No,4715,398,63,25,23,11260,750,12010,2464,252802101,MERCED 2101,Yosemite,6/2/2025 1:21:05 AM
BELL,12kV,No,697,181,74,1,7,3130,80,3210,2465,152701109,BELL 1109,Sierra,6/2/2025 1:21:05 AM
COALINGA NO 1,12kV,Yes,355,17,3,7,0,1550,570,2120,2466,252161107,COALINGA NO 1 1107,Fresno,6/2/2025 1:21:05 AM
LOS COCHES,12kV,Yes,22,11,4,63,0,40,0,40,2467,182151101,LOS COCHES 1101,Central Coast,6/2/2025 1:21:05 AM
APPLE HILL,12kV,No,2306,160,26,5,3,7130,430,7560,2468,153661104,APPLE HILL 1104,Sierra,6/2/2025 1:21:05 AM
MALAGA,12kV,Yes,446,167,108,253,15,5160,5320,10480,2469,254251102,MALAGA 1102,Fresno,6/2/2025 1:21:05 AM
MILPITAS,21kV,No,1477,80,60,0,2,870,10,880,2470,082831104,MILPITAS 1104,San Jose,6/2/2025 1:21:05 AM
SAN RAMON,21kV,No,5899,152,24,0,18,11200,890,12090,2471,014232101,SAN RAMON 2101,Mission,6/2/2025 1:21:05 AM
DEEPWATER,12kV,No,1803,165,92,0,19,1950,900,2850,2472,063621110,DEEPWATER 1110,Sacramento,6/2/2025 1:21:05 AM
DIXON LANDING,21kV,No,3788,349,134,0,20,7370,1550,8920,2473,014722109,DIXON LANDING 2109,Mission,6/2/2025 1:21:05 AM
STELLING,12kV,Yes,2199,108,31,0,9,2700,660,3360,2474,083481104,STELLING 1104,De Anza,6/2/2025 1:21:05 AM
FORT ORD,21kV,Yes,0,6,9,0,0,1760,0,1760,2475,182402108,FORT ORD 2108,Central Coast,6/2/2025 1:21:05 AM
OAKLAND C,12kV,No,3003,445,187,0,37,910,1260,2170,2476,012011133,OAKLAND C 1133,East Bay,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,Yes,274,192,70,0,11,700,1540,2240,2477,253371107,BAKERSFIELD 1107,Kern,6/2/2025 1:21:05 AM
BRUNSWICK,12kV,No,2369,280,62,6,7,4150,1970,6120,2478,152481104,BRUNSWICK 1104,Sierra,6/2/2025 1:21:05 AM
OAKLAND X,12kV,No,7023,389,65,0,13,1940,210,2150,2479,012541115,OAKLAND X 1115,East Bay,6/2/2025 1:21:05 AM
LOYOLA,12kV,No,1566,279,89,1,7,3930,920,4850,2480,082161101,LOYOLA 1101,De Anza,6/2/2025 1:21:05 AM
TAFT,12kV,No,1254,208,39,0,6,1950,5540,7490,2481,252081101,TAFT 1101,Kern,6/2/2025 1:21:05 AM
HIGHWAY,12kV,Yes,3932,239,90,0,21,5240,320,5560,2482,042651106,HIGHWAY 1106,North Bay,6/2/2025 1:21:05 AM
NEWHALL,12kV,Yes,11,16,2,190,10,6440,1310,7750,2483,254461109,NEWHALL 1109,Yosemite,6/2/2025 1:21:05 AM
REDWOOD CITY,12kV,Yes,1,100,52,0,8,100,0,100,2484,024161102,REDWOOD CITY 1102,Peninsula,6/2/2025 1:21:05 AM
CAROLANDS,4.16kV,No,843,35,6,0,3,1880,420,2300,2485,024060401,CAROLANDS 0401,Peninsula,6/2/2025 1:21:05 AM
LAKEVIEW,12kV,Yes,18,29,14,89,3,2560,1790,4350,2486,253411102,LAKEVIEW 1102,Kern,6/2/2025 1:21:05 AM
GIRVAN,12kV,No,1139,128,16,7,0,4500,390,4890,2487,103401101,GIRVAN 1101,North Valley,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,No,3069,274,172,0,12,1200,350,1550,2488,022031108,POTRERO PP (A) 1108,San Francisco,6/2/2025 1:21:05 AM
HARRIS,12kV,Yes,4718,292,56,0,7,3240,570,3810,2489,192431108,HARRIS 1108,Humboldt,6/2/2025 1:21:05 AM
WILKINS SLOUGH,12kV,Yes,176,51,5,117,0,2540,120,2660,2490,062771102,WILKINS SLOUGH 1102,Sacramento,6/2/2025 1:21:05 AM
WEST FRESNO,12kV,No,2807,130,35,3,18,2410,150,2560,2491,253731104,WEST FRESNO 1104,Fresno,6/2/2025 1:21:05 AM
LEMOORE,12kV,No,1047,53,8,292,4,3960,490,4450,2492,253601104,LEMOORE 1104,Fresno,6/2/2025 1:21:05 AM
EDENVALE,21kV,No,697,145,86,0,10,2280,10,2290,2493,082952107,EDENVALE 2107,San Jose,6/2/2025 1:21:05 AM
EDES,12kV,No,3820,202,67,1,12,1450,510,1960,2494,013681103,EDES 1103,East Bay,6/2/2025 1:21:05 AM
RIVER OAKS,21kV,Yes,0,2,8,0,1,0,0,0,2495,082342106,RIVER OAKS 2106,San Jose,6/2/2025 1:21:05 AM
SAUSALITO,12kV,No,3983,526,124,0,13,2640,320,2960,2496,042491102,SAUSALITO 1102,Sonoma,6/2/2025 1:21:05 AM
OAKLAND C,12kV,Yes,826,44,34,0,2,1150,3330,4480,2497,012011108,OAKLAND C 1108,East Bay,6/2/2025 1:21:05 AM
PETALUMA C,12kV,No,1532,252,147,0,,1685,1893,3578,2498,042631102,PETALUMA C 1102,Sonoma,10/1/2025 7:51:52 AM
BUELLTON,12kV,No,1760,476,142,200,,3539,4934,8473,2499,183041101,BUELLTON 1101,Los Padres,10/1/2025 7:51:52 AM
GRANT,12kV,Yes,5,258,148,0,3,2170,1640,3810,2500,014381103,GRANT 1103,Mission,10/1/2025 11:34:21 AM
KIRKER,20.78kV,No,4251,83,39,0,21,9350,590,9940,2501,014452105,KIRKER 2105,Diablo,10/1/2025 11:34:21 AM
DIAMOND SPRINGS,12kV,No,1476,246,131,0,7,7730,1320,9050,2502,152261107,DIAMOND SPRINGS 1107,Sierra,6/2/2025 1:21:05 AM
CATLETT,12kV,Yes,82,52,15,121,5,1660,4350,6010,2503,153761105,CATLETT 1105,Sacramento,6/2/2025 1:21:05 AM
NORCO,12kV,Yes,2,24,31,35,10,1810,1260,3070,2504,254691101,NORCO 1101,Kern,6/2/2025 1:21:05 AM
OAKHURST,12kV,No,1746,285,86,5,4,3260,780,4040,2505,254421101,OAKHURST 1101,Yosemite,6/2/2025 1:21:05 AM
MONTAGUE,21kV,No,0,12,45,0,2,560,850,1410,2506,083892107,MONTAGUE 2107,San Jose,6/2/2025 1:21:05 AM
VALLEY VIEW,12kV,No,4629,315,80,0,28,2670,210,2880,2507,014341103,VALLEY VIEW 1103,East Bay,6/2/2025 1:21:05 AM
NORTH DUBLIN,21kV,No,5197,290,193,0,30,8580,1680,10260,2508,014052101,NORTH DUBLIN 2101,Mission,6/2/2025 1:21:05 AM
WILLITS,12kV,No,1887,227,45,30,3,2160,1150,3310,2509,042661103,WILLITS 1103,Humboldt,6/2/2025 1:21:05 AM
KERN POWER,21kV,Yes,2510,171,96,1,8,7150,550,7700,2510,255262104,KERN POWER 2104,Kern,6/2/2025 1:21:05 AM
LAWRENCE,12kV,Yes,479,23,23,0,5,1090,780,1870,2511,083421102,LAWRENCE 1102,De Anza,6/2/2025 1:21:05 AM
DEL MAR,21kV,No,1784,74,138,0,10,8240,320,8560,2512,152582106,DEL MAR 2106,Sierra,6/2/2025 1:21:05 AM
MALAGA,12kV,Yes,438,181,99,66,7,1180,1230,2410,2513,254251108,MALAGA 1108,Fresno,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,2538,188,174,14,20,8230,1190,9420,2514,254552113,FIGARDEN 2113,Fresno,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,Yes,722,146,68,0,34,220,390,610,2515,022031103,POTRERO PP (A) 1103,San Francisco,6/2/2025 1:21:05 AM
CORDELIA,12kV,No,1406,152,78,24,16,3660,350,4010,2516,062701110,CORDELIA 1110,North Bay,6/2/2025 1:21:05 AM
FORT BRAGG A,12kV,No,2187,219,31,10,8,1610,120,1730,2517,042761102,FORT BRAGG A 1102,Humboldt,6/2/2025 1:21:05 AM
RIVER OAKS,21kV,Yes,88,4,14,0,2,250,360,610,2518,082342101,RIVER OAKS 2101,San Jose,6/2/2025 1:21:05 AM
WEST FRESNO,12kV,No,2517,306,126,16,8,3380,2050,5430,2519,253731111,WEST FRESNO 1111,Fresno,6/2/2025 1:21:05 AM
BANCROFT,4.16kV,No,1072,39,4,0,1,580,20,600,2520,013030401,BANCROFT 0401,East Bay,6/2/2025 1:21:05 AM
STELLING,12kV,No,470,78,41,0,5,30,0,30,2521,083481105,STELLING 1105,De Anza,6/2/2025 1:21:05 AM
KERN POWER,21kV,No,1969,119,165,0,9,7860,2600,10460,2522,255262101,KERN POWER 2101,Kern,6/2/2025 1:21:05 AM
GUERNSEY,12kV,Yes,52,12,1,149,0,4580,420,5000,2523,252661106,GUERNSEY 1106,Fresno,6/2/2025 1:21:05 AM
MARTELL,12kV,No,1974,298,60,7,5,3580,340,3920,2524,163011101,MARTELL 1101,Stockton,6/2/2025 1:21:05 AM
BLACKWELL,12kV,Yes,40,28,11,52,1,13230,0,13230,2525,254681102,BLACKWELL 1102,Kern,6/2/2025 1:21:05 AM
MC CALL,12kV,No,1409,118,36,357,9,7520,6260,13780,2526,254121107,MC CALL 1107,Fresno,6/2/2025 1:21:05 AM
TRACY,12kV,No,2391,121,124,0,8,3660,180,3840,2527,162881103,TRACY 1103,Stockton,6/2/2025 1:21:05 AM
HICKS,12kV,No,3382,118,18,0,5,5290,480,5770,2528,083431111,HICKS 1111,San Jose,6/2/2025 1:21:05 AM
TRINIDAD,12kV,No,639,108,23,3,0,700,50,750,2529,192231102,TRINIDAD 1102,Humboldt,6/2/2025 1:21:05 AM
ASHLAN AVE,12kV,No,1535,140,73,0,8,2250,30,2280,2530,252051104,ASHLAN AVE 1104,Fresno,6/2/2025 1:21:05 AM
BOGUE,12kV,No,2866,229,45,3,10,5060,600,5660,2531,153781102,BOGUE 1102,Sacramento,6/2/2025 1:21:05 AM
SAN LEANDRO U,12kV,Yes,3475,132,55,0,19,4360,3190,7550,2532,013111110,SAN LEANDRO U 1110,Mission,6/2/2025 1:21:05 AM
BELMONT,12kV,Yes,19,115,66,0,8,1170,1580,2750,2533,024031106,BELMONT 1106,Peninsula,6/2/2025 1:21:05 AM
CONTRA COSTA,21kV,No,4162,173,39,0,34,4250,280,4530,2534,013652104,CONTRA COSTA 2104,Diablo,6/2/2025 1:21:05 AM
LINDEN,12kV,No,554,130,25,211,3,4340,610,4950,2535,162071103,LINDEN 1103,Stockton,6/2/2025 1:21:05 AM
CLAYTON,21kV,No,3383,196,53,0,7,2860,380,3240,2536,012022211,CLAYTON 2211,Diablo,6/2/2025 1:21:05 AM
SHINGLE SPRINGS,21kV,No,2640,208,59,0,4,10900,8690,19590,2537,153652108,SHINGLE SPRINGS 2108,Sierra,6/2/2025 1:21:05 AM
EAST GRAND,12kV,Yes,0,4,18,0,0,220,620,840,2538,022571113,EAST GRAND 1113,Peninsula,6/2/2025 1:21:05 AM
ELK CREEK,12kV,No,726,129,11,34,1,640,180,820,2539,102781101,ELK CREEK 1101,North Valley,6/2/2025 1:21:05 AM
BAY MEADOWS,21kV,Yes,1750,92,45,0,11,1670,400,2070,2540,024012104,BAY MEADOWS 2104,Peninsula,6/2/2025 1:21:05 AM
MONTAGUE,21kV,No,2378,277,156,0,11,3730,2710,6440,2541,083892104,MONTAGUE 2104,San Jose,6/2/2025 1:21:05 AM
NAPA,12kV,No,3531,188,39,51,7,2620,290,2910,2542,042021102,NAPA 1102,North Bay,6/2/2025 1:21:05 AM
WOLFE,12kV,No,4528,151,98,1,9,890,40,930,2543,083671114,WOLFE 1114,De Anza,10/1/2025 11:34:20 AM
WINDSOR,12kV,No,1329,98,17,18,3,2190,150,2340,2544,043501103,WINDSOR 1103,Sonoma,6/2/2025 1:21:05 AM
MONROE,12kV,No,5723,288,93,12,19,4540,1530,6070,2545,043301106,MONROE 1106,Sonoma,6/2/2025 1:21:05 AM
SAN CARLOS,4.16kV,No,1361,126,9,0,12,1940,300,2240,2546,024180404,SAN CARLOS 0404,Peninsula,6/2/2025 1:21:05 AM
SISQUOC,12kV,No,131,36,6,113,0,1100,20,1120,2547,182811104,SISQUOC 1104,Los Padres,6/2/2025 1:21:05 AM
FMC,12kV,Yes,0,13,31,0,6,1190,0,1190,2548,083871111,FMC 1111,San Jose,6/2/2025 1:21:05 AM
SUISUN,12kV,Yes,224,102,54,0,5,1880,2170,4050,2549,062131112,SUISUN 1112,North Bay,6/2/2025 1:21:05 AM
SAN LEANDRO U,12kV,No,3592,265,96,0,17,2760,2460,5220,2550,013111109,SAN LEANDRO U 1109,Mission,6/2/2025 1:21:05 AM
MILPITAS,12kV,Yes,4855,99,16,0,8,5550,190,5740,2551,082832110,MILPITAS 2110,San Jose,6/2/2025 1:21:05 AM
WILLIAMS,12kV,Yes,1790,280,55,141,20,9750,10540,20290,2552,062051102,WILLIAMS 1102,Sacramento,6/2/2025 1:21:05 AM
STOCKDALE,21kV,No,3474,170,112,0,8,8950,230,9180,2553,254072108,STOCKDALE 2108,Kern,6/2/2025 1:21:05 AM
BURLINGAME,21kV,No,1721,114,21,0,4,1020,160,1180,2554,024052101,BURLINGAME 2101,Peninsula,6/2/2025 1:21:05 AM
HALSEY,12kV,No,1746,273,79,5,31,3850,1220,5070,2555,152241102,HALSEY 1102,Sierra,6/2/2025 1:21:05 AM
PALMER,12kV,No,754,109,32,62,,1167,6221,7388,2556,183031101,PALMER 1101,Los Padres,11/3/2025 11:44:15 AM
CALPELLA,12kV,Yes,532,25,9,5,0,490,8040,8530,2557,043411102,CALPELLA 1102,Humboldt,6/2/2025 1:21:05 AM
PLACER,12kV,No,1703,395,124,2,17,2520,240,2760,2558,152461104,PLACER 1104,Sierra,6/2/2025 1:21:05 AM
